x,y,z,yaw
6.280369834735099681e-16,2.943923360032077852e-16,-2.512147933894039872e-15,-1.972992462568962324e+00
1.063561319748402623e+00,2.002403135469941642e+00,6.098385743590893915e-01,1.278093974093624449e-03
1.277846224210005488e+00,2.584870060784341117e+00,2.385074118275163635e-01,-8.754100372504301395e-05
1.084005861440334506e+00,1.207796563403847889e+00,-6.455026828466539079e-01,-1.248616166876142064e-07
6.965303515765477460e-01,-1.075651281138952697e+00,-6.337969513105924380e-01,9.335095022509231272e-07
2.080262798987043416e-01,-2.555767748550597851e+00,2.223738623126030600e-01,1.626821142594172000e-05
-3.382200286342051943e-01,-2.243617152159329997e+00,6.338954758462491679e-01,1.115621986446561070e-05
-9.146552665349372280e-01,-3.777614365745272651e-01,3.974329007947158265e-02,2.548221093664187608e-05
-1.495509840739180474e+00,1.790015089988947539e+00,-6.650880015224004405e-01,3.360783967577614682e-05
-2.052821524026137823e+00,2.678030486579409786e+00,-5.005527064012995631e-01,5.018573432454068997e-05
-2.560485265422054457e+00,1.648324694565283410e+00,2.807460693797918516e-01,9.601424491184020382e-05
-3.042268308078449834e+00,-7.787026792369637906e-01,5.641119703936058327e-01,-1.824347413062303495e-06
-3.376697676695140871e+00,-2.490614561363694968e+00,-1.251904189714908855e-01,-1.829071114685523947e-05
-3.598791077377256897e+00,-2.482091746640978869e+00,-7.479998350038520316e-01,1.777088216828339359e-05
-3.696325292242563343e+00,-7.059302510032252620e-01,-3.672781145455232821e-01,-1.971128071383057455e-06
-3.669459484557295870e+00,1.520490310974700776e+00,5.017126213357131492e-01,-2.980564391103394767e-06
-3.523237036843735126e+00,2.684139537011084542e+00,5.488162386715781382e-01,-5.144624247978665826e-05
-3.221317852075066490e+00,2.005483697224794248e+00,-4.131545503987861245e-01,2.649384643622288760e+00
-1.704187336522530849e+00,7.096529534569807618e-01,-1.912206102729658630e+00,4.482294127791209420e-03
-1.838084220886231579e+00,1.130544781684876154e+00,-2.470172166824344373e+00,8.092420085943784550e-03
